File Base Directory, Metric, Value, Notes
E1, Spatial Categorical Accuracy, 0.7778187394142151, [1.0201756954193115, 0.7778187394142151]
E2, Spatial Categorical Accuracy, 0.8121351599693298, [0.642480194568634,  0.8121351599693298]
E3, Spatial Categorical Accuracy, 0.8121351599693298, [0.642480194568634,  0.8121351599693298]

